"filename", "language", "Python", "pip requirements", "Docker", "Ignore", "Markdown", "YAML", "Log", "Shell Script", "Properties", "JSON", "XML", "comment", "blank", "total"
"c:\my-code\online_images_collector\server\Dockerfile", "Docker", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 10
"c:\my-code\online_images_collector\server\README.md", "Markdown", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 7, 28
"c:\my-code\online_images_collector\server\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\my-code\online_images_collector\server\app.py", "Python", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 6, 47
"c:\my-code\online_images_collector\server\app_log.py", "Python", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 7, 52
"c:\my-code\online_images_collector\server\app_models\model.py", "Python", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 31
"c:\my-code\online_images_collector\server\executor.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 5, 36
"c:\my-code\online_images_collector\server\gunicorn.conf.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\my-code\online_images_collector\server\log_file\detect_logger.log", "Log", 0, 0, 0, 0, 0, 0, 618, 0, 0, 0, 0, 0, 1, 619
"c:\my-code\online_images_collector\server\log_gunicorn\access.log", "Log", 0, 0, 0, 0, 0, 0, 2968, 0, 0, 0, 0, 0, 1, 2969
"c:\my-code\online_images_collector\server\log_gunicorn\error.log", "Log", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\my-code\online_images_collector\server\my_utils.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 16
"c:\my-code\online_images_collector\server\redis_server.py", "Python", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 14, 85
"c:\my-code\online_images_collector\server\requirements.txt", "pip requirements", 0, 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 153
