2022-04-27 11:37:11,673 - INFO -  requestId=VuYb01whz: 耗时：13.42秒, 目标总量: 46, 成功检测: 44 | 96.0%, 无需检测跳过: 0 | 0.0%, 检测失败: 2 | 4.0%, 
2022-04-27 11:38:00,792 - INFO -  requestId=WVzytZHIW: 耗时：12.45秒, 目标总量: 46, 成功检测: 44 | 96.0%, 无需检测跳过: 0 | 0.0%, 检测失败: 2 | 4.0%, 
2022-04-27 11:43:41,762 - INFO -  requestId=9UBQpMhMH: 耗时：6.72秒, 目标总量: 25, 成功检测: 23 | 92.0%, 无需检测跳过: 0 | 0.0%, 检测失败: 2 | 8.0%, 
2022-04-27 11:43:41,762 - INFO -  requestId=9UBQpMhMH: 耗时：6.72秒, 目标总量: 25, 成功检测: 23 | 92.0%, 无需检测跳过: 0 | 0.0%, 检测失败: 2 | 8.0%, 
2022-04-27 13:43:14,119 - INFO -  requestId=LcmW6PzLb: 耗时：153.99秒, 目标总量: 274, 成功检测: 264 | 96.0%, 无需检测跳过: 0 | 0.0%, 检测失败: 10 | 4.0%, 
2022-04-27 14:35:25,862 - INFO -  requestId=aEDmyTvtZ: 耗时：7.22秒, 目标总量: 380, 成功检测: 0 | 0.0%, 无需检测跳过: 0 | 0.0%, 检测失败: 380 | 100.0%, 
2022-04-27 14:40:29,223 - INFO -  requestId=cUiF0Wldh: 耗时：200.91秒, 目标总量: 380, 成功检测: 370 | 97.0%, 无需检测跳过: 0 | 0.0%, 检测失败: 10 | 3.0%, 
2022-04-27 14:40:29,223 - INFO -  requestId=cUiF0Wldh: 耗时：200.91秒, 目标总量: 380, 成功检测: 370 | 97.0%, 无需检测跳过: 0 | 0.0%, 检测失败: 10 | 3.0%, 
2022-04-27 14:55:31,629 - INFO -  requestId=dO7V_eNyk: 耗时：182.37秒, 目标总量: 310, 成功检测: 300 | 97.0%, 无需检测跳过: 0 | 0.0%, 检测失败: 10 | 3.0%, 
2022-04-27 15:10:50,389 - INFO -  requestId=ajJj3CFC3: 耗时：571.22秒, 目标总量: 774, 成功检测: 763 | 99.0%, 无需检测跳过: 0 | 0.0%, 检测失败: 11 | 1.0%, 
2022-04-27 15:10:50,389 - INFO -  requestId=ajJj3CFC3: 耗时：571.22秒, 目标总量: 774, 成功检测: 763 | 99.0%, 无需检测跳过: 0 | 0.0%, 检测失败: 11 | 1.0%, 
2022-04-27 15:34:01,734 - INFO -  requestId=n6RI09Diw: 耗时：227.15秒, 目标总量: 464, 成功检测: 458 | 99.0%, 无需检测跳过: 0 | 0.0%, 检测失败: 6 | 1.0%, 
2022-04-27 15:49:39,290 - INFO -  requestId=TG5iS-IYL: 耗时：229.08秒, 目标总量: 465, 成功检测: 459 | 99.0%, 无需检测跳过: 0 | 0.0%, 检测失败: 6 | 1.0%, 
2022-04-27 15:49:39,290 - INFO -  requestId=TG5iS-IYL: 耗时：229.08秒, 
目标总量: 465, 成功检测: 459 | 99.0%, 无需检测跳过: 0 | 0.0%, 检测失败: 6 | 1.0%, 
2022-04-27 17:02:44,380 - INFO -  requestId=IWOwoqXEg: 耗时：7.38秒, 目标总量: 26, 成功检测: 25 | 96.0%, 无需检测跳过: 0 | 0.0%, 检测失败: 1 | 4.0%, 
2022-04-27 17:06:54,461 - INFO -  requestId=7m0p31S_Q: 耗时：8.87秒, 目标总量: 35, 成功检测: 31 | 89.0%, 无需检测跳过: 0 | 0.0%, 检测失败: 4 | 11.0%, 
2022-04-27 17:06:54,461 - INFO -  requestId=7m0p31S_Q: 耗时：8.87秒, 目标总量: 35, 成功检测: 31 | 89.0%, 无需检测跳过: 0 | 0.0%, 检测失败: 4 | 11.0%, 
2022-04-27 17:30:16,742 - INFO -  requestId=4isKzOoH7: 耗时：6.03秒, 目标总量: 34, 成功检测: 30 | 88.0%, 无需检测跳过: 0 | 0.0%, 检测失败: 4 | 12.0%, 
2022-04-27 17:30:16,742 - INFO -  requestId=4isKzOoH7: 耗时：6.03秒, 目标总量: 34, 成功检测: 30 | 88.0%, 无需检测跳过: 0 | 0.0%, 检测失败: 4 | 12.0%, 
2022-04-27 17:30:16,742 - INFO -  requestId=4isKzOoH7: 耗时：6.03秒, 目标总量: 34, 成功检测: 30 | 88.0%, 无需检测跳过: 0 | 0.0%, 检测失败: 4 | 12.0%, 
2022-04-27 17:34:12,303 - INFO -  requestId=4jIJqs1GC: 耗时：6.76秒, 目标总量: 26, 成功检测: 25 | 96.0%, 无需检测跳过: 0 | 0.0%, 检测失败: 1 | 4.0%, 
2022-04-27 17:34:12,303 - INFO -  requestId=4jIJqs1GC: 耗时：6.76秒, 目标总量: 26, 成功检测: 25 | 96.0%, 无需检测跳过: 0 | 0.0%, 检测失败: 1 | 4.0%, 
2022-04-27 17:34:12,303 - INFO -  requestId=4jIJqs1GC: 耗时：6.76秒, 目标总量: 26, 成功检测: 25 | 96.0%, 无需检测跳过: 0 | 0.0%, 检测失败: 1 | 4.0%, 
2022-04-27 17:34:12,303 - INFO -  requestId=4jIJqs1GC: 耗时：6.76秒, 目标总量: 26, 成功检测: 25 | 96.0%, 无需检测跳过: 0 | 0.0%, 检测失败: 1 | 4.0%, 
2022-04-27 17:36:21,296 - INFO -  requestId=EXR33ZPXC: 耗时：71.23秒, 目标总量: 251, 成功检测: 250 | 100.0%, 无需检测跳过: 0 | 0.0%, 检测失败: 1 | 0.0%, 
2022-04-27 17:36:21,296 - INFO -  requestId=EXR33ZPXC: 耗时：71.23秒, 目标总量: 251, 成功检测: 250 | 100.0%, 无需检测跳过: 0 | 0.0%, 检测失败: 1 | 0.0%, 
2022-04-27 17:36:21,296 - INFO -  requestId=EXR33ZPXC: 耗时：71.23秒, 目标总量: 251, 成功检测: 250 | 100.0%, 无需检测跳过: 0 | 0.0%, 检测失败: 1 | 0.0%, 
2022-04-27 17:36:21,296 - INFO -  requestId=EXR33ZPXC: 耗时：71.23秒, 目标总量: 251, 成功检测: 250 | 100.0%, 无需检测跳过: 0 | 0.0%, 检测失败: 1 | 0.0%, 
2022-04-27 17:36:21,296 - INFO -  requestId=EXR33ZPXC: 耗时：71.23秒, 目标总量: 251, 成功检测: 250 | 100.0%, 无需检测跳过: 0 | 0.0%, 检测失败: 1 | 0.0%, 
2022-04-27 18:11:19,107 - INFO -  requestId=gtdBl8W87: 耗时：2.89秒, 目标总量: 1, 成功检测: 0 | 0.0%, 无需检测跳过: 0 | 0.0%, 检测失败: 1 | 100.0%, 
2022-04-27 18:11:19,107 - INFO -  requestId=gtdBl8W87: 耗时：2.89秒, 目标总量: 1, 成功检测: 0 | 0.0%, 无需检测跳过: 0 | 0.0%, 检测失败: 1 | 100.0%, 
2022-04-27 18:11:19,107 - INFO -  requestId=gtdBl8W87: 耗时：2.89秒, 目标总量: 1, 成功检测: 0 | 0.0%, 无需检测跳过: 0 | 0.0%, 检测失败: 1 | 100.0%, 
2022-04-27 18:11:19,107 - INFO -  requestId=gtdBl8W87: 耗时：2.89秒, 目标总量: 1, 成功检测: 0 | 0.0%, 无需检测跳过: 0 | 0.0%, 检测失败: 1 | 100.0%, 
